long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,0,1.000088214,37.05,50,0.000661648,12.34,1.95,1.95,3.256778,24.65141,24.65141,38.21,-15.57,0.123177862,0.093732547,0.041085028,0.07872618
-110.0472,37.60413,2022,NT,4.5,sc22,0,0,84,5,11,7,0,2.8122258,36.77,76,0.017330113,1.95,4.79,4.3,2.071222,25.17375,15.49885,37.84,-7.93,0.064363408,0.060081333,0.041041545,0.046376416
-110.0472,37.60413,2022,NT,4.5,sc23,0,0,84,5,11,7,0,2.950635629,36.685,65,0.001003688,17.4,4.83,17.4,1.933278,24.46223,1.933278,38.18,-11.86,0.138586613,0.085469439,0.041712842,0.102554215
-110.0472,37.60413,2022,NT,4.5,sc24,0,0,84,5,11,7,0,3.388561781,36.306,60,0.054746749,6.49,7.43,,2.366778,24.9225,,38.31,-8.04,0.131728542,0.079592414,0.042969793,0.076488304
-110.0472,37.60413,2022,NT,4.5,sc25,0,0,84,5,11,7,0,2.51878187,37.309,80,0.014295906,10.58,4.15,,0.2641667,24.76332,,38.57,-12.94,0.100168196,0.097270678,0.041458592,0.047623516
-110.0472,37.60413,2022,NT,4.5,sc26,0,0,84,5,11,7,0,4.100236435,35.367,89,0.133133799,4.17,8.64,4.17,-3.653667,22.75234,-3.653667,37.81,-29.67,0.043828065,0.053605547,0.044681895,0.047462887
-110.0472,37.60413,2022,NT,4.5,sc27,0,0,84,5,11,7,0,3.042004209,36.451,72,0.105328357,2.72,6.89,8.33,0.9017778,24.78234,0.9017778,37.29,-20,0.063828085,0.048043426,0.04397122,0.051095859
-110.0472,37.60413,2022,NT,4.5,sc28,0,0,84,5,11,7,0,4.063223807,36.91,79,0.717494236,7.56,14.1,,-0.3056111,24.74217,,38.92,-15.53,0.082555527,0.072145861,0.056311601,0.042595102
-110.0472,37.60413,2022,NT,4.5,sc29,0,0,84,5,11,7,0,2.357651732,38.064,72,0.000493657,5.58,3.57,3.57,0.1265556,25.36527,25.36527,39.16,-17.78,0.075354241,0.052745819,0.041240158,0.042820263
-110.0472,37.60413,2022,NT,4.5,sc30,0,0,84,5,11,7,0,4.227546544,36.794,71,0.099461385,4.77,8.87,2.85,1.676722,24.62815,14.56255,38.8,-11.78,0.053772425,0.064213365,0.0439601,0.060731976
